Name,Twitter Handle,Total Tweet,Total ReTweets,Total Following,Tolat Followers,UserID,User Verified,User Location,Date of Tweet,Tweet ID,Tweet Text,Tweet ReTweet Status,Tweet  Reply To ID
Deplorable mglessman,mglessman,113221,2,6325,6661,869176992,False,USA,2016-12-02 18:28:44,804754188504825856,RT @amrightnow: About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain #WisconsinPrimary #Wisconsin #Wisconsinpoll https://…,False,
DavidG,lildg54,89404,9,400,958,22176444,False,"West University Place, TX",2016-12-02 18:28:39,804754164559581184,"RT @discjocke52: Don't worry. I won't. Promise!
@realDonaldTrump #realDonaldTrump https://t.co/mcAOWmUbmQ",False,
Danielle R. Rhéaume,rheaume76,1068,0,740,259,440754998,False,"Olympia and Seattle, WA",2016-12-02 18:28:22,804754092996382722,Post-election hate update: Trump’s “stop it” didn’t work. #racism #realdonaldtrump #hatecrime https://t.co/fPDigRqzfu via @voxdotcom,False,
Thaddeus Hutyra,teddy9999,4321,0,1303,676,32128746,False,,2016-12-02 18:25:18,804753323526094848,Hilarious Trump the coming Christmas ! America Great Again ! https://t.co/akyQrHp3BK @realDonaldTrump #realDonaldTrump @teddy9999 #teddy9999,False,
Brenda Singer,BLSinger4REAL,29416,9,1495,1454,981951186,False,NYS,2016-12-02 18:25:02,804753256253636608,"RT @discjocke52: Don't worry. I won't. Promise!
@realDonaldTrump #realDonaldTrump https://t.co/mcAOWmUbmQ",False,
Basswood Group,bfsgroupinc,4384,0,196,57,2490142490,False,"Cleveland, Ohio",2016-12-02 18:23:58,804752988472573953,#realDonaldTrump named #GeneralPetraeus as a cabinet member say he did nothing wrong in his last post. But Petraeus revealed U.S. secrets...,False,
eSublime,eSublime,24,1,5,3,16654720,False,"Nashville, TN",2016-12-02 18:22:28,804752610720890880,Someone should investigate #JillStein campaign donations. It appears that many non-US entities have funded the recount #realDonaldTrump,False,
William E. Lewis Jr.,4WilliamLewis,33928,3,324,364,2405538056,False,"Vero Beach, FL",2016-12-02 18:21:44,804752427622731776,"RT @amrightnow: Real Trump NO Refugees Allowed In The US ""0"" Paris Declares Act Of War https://t.co/j58e8aacrE #realDonaldTrump https://t.c…",False,
William E. Lewis Jr.,4WilliamLewis,33928,2,324,364,2405538056,False,"Vero Beach, FL",2016-12-02 18:21:44,804752426695884800,RT @amrightnow: Turn the lights off on your way out! We will make them bright again! Trump #VoteTrump2016 #realdonaldtrump https://t.co/H33…,False,
William E. Lewis Jr.,4WilliamLewis,33928,1,324,364,2405538056,False,"Vero Beach, FL",2016-12-02 18:21:44,804752425714380800,"RT @BillWayTODAY: $7,000,000 = 700 at $10,000 each.  #realDonaldTrump #indiana This is the new math.",False,
Paul Lanni,paulrlanni,20830,8,309,418,391497091,False,"Syracuse, NY",2016-12-02 18:21:16,804752309750267904,RT @amrightnow: #veterans Hang On #Vote2016 #realdonaldTrump Help is incoming #maga #Military https://t.co/MpRYSZ10AZ #tcot https://t.co/Pz…,False,
American Right Now,amrightnow,547663,0,31931,34927,449110269,False,"New Jersey, USA",2016-12-02 18:20:20,804752075242504193,"Trump NO Refugees Allowed In The US 0"" Paris Declares Act Of War https://t.co/j58e8aacrE #realDonaldTrump https://t.co/W8Hv5wJd7x",False,
Stephen McCabe,bevmac321,759,9,526,246,28315405,False,"Cardiff, Wales",2016-12-02 18:19:15,804751802285641729,"RT @discjocke52: Don't worry. I won't. Promise!
@realDonaldTrump #realDonaldTrump https://t.co/mcAOWmUbmQ",False,
American Right Now,amrightnow,547663,0,31931,34927,449110269,False,"New Jersey, USA",2016-12-02 18:18:23,804751580771876864,Its harvest time vote Trump 2016 #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain https://t.co/fwQWyXKBNp,False,
Roberto Coyne,FlyBobCoyne,3763,0,310,109,3406609307,False,,2016-12-02 18:15:33,804750869233364992,@nia4_trump #realDonaldTrump it's time to shut'em down!,False,704041886089084928
Nelly,yourbodybible,57855,9,4948,2722,93583928,False,Canada,2016-12-02 18:15:28,804750850375593985,"RT @discjocke52: Don't worry. I won't. Promise!
@realDonaldTrump #realDonaldTrump https://t.co/mcAOWmUbmQ",False,
lisa loi,solocurve,5704,3,152,81,2586529265,False,,2016-12-02 18:14:02,804750486570147840,RT @thugsRbadMK: #realDonaldTrump IS AFRAID OF A RE-COUNT!! #auditthevote #notmypresident he would want one if he lost. DOUBLE STANDARD,False,
American Right Now,amrightnow,547663,0,31931,34927,449110269,False,"New Jersey, USA",2016-12-02 18:13:20,804750312980578304,#realdonaldtrump Both Parties Have Shown American’s #military #army #navy #usmc #airforce #veterans #markcuban https://t.co/JntKGokkwq,False,
tf,thunderbayrules,8903,3,315,228,4185080121,False,,2016-12-02 18:11:12,804749773949517828,"RT @amrightnow: ""The Real Trump"" Make Video #realdonaldtrump https://t.co/j58e8aacrE #WisconsinPrimary #Wisconsin #Wisconsinpoll https://t.…",False,
Kathryn Perlmutter,fenwaynkat,275,0,65,95,550044511,False,"Mill Valley, CA",2016-12-02 18:11:12,804749773500600320,#realdonaldtrump #ladies4trump sad and true https://t.co/wQQdUhFPIx,False,
Jerry Lanson,jerrylanson,2812,0,308,627,16185290,False,"Boston, MA",2016-12-02 18:10:33,804749612917686273,"Imitating Putin, in more ways than one. #realDonaldTrump #2016election https://t.co/aAlDBcZ07T",False,
Sophie,mickerdos1,4394,9,403,275,759072499388784640,False,,2016-12-02 18:09:44,804749405324771328,"RT @discjocke52: Don't worry. I won't. Promise!
@realDonaldTrump #realDonaldTrump https://t.co/mcAOWmUbmQ",False,
"NOT My President,",grumpymoochie,4187,9,1276,500,789640373882716161,False,"Michigan, USA",2016-12-02 18:07:54,804748944156856321,"RT @discjocke52: Don't worry. I won't. Promise!
@realDonaldTrump #realDonaldTrump https://t.co/mcAOWmUbmQ",False,
Moola,Moo57556470,12262,9,6464,5914,759570314879655936,False,United States,2016-12-02 18:07:02,804748724438085632,"RT @discjocke52: Don't worry. I won't. Promise!
@realDonaldTrump #realDonaldTrump https://t.co/mcAOWmUbmQ",False,
TRUMP FOR PRESIDENT,slobo66,13419,3,554,611,57982881,False,United States,2016-12-02 18:06:04,804748484574412800,"RT @amrightnow: ""The Real Trump"" Make Video #realdonaldtrump https://t.co/j58e8aacrE #WisconsinPrimary #Wisconsin #Wisconsinpoll https://t.…",False,
American Right Now,amrightnow,547663,0,31931,34927,449110269,False,"New Jersey, USA",2016-12-02 18:04:21,804748052854689792,#veterans Hang On #Vote2016 #realdonaldTrump Help is incoming #maga #Military https://t.co/MpRYSZ10AZ  #Wisconsin https://t.co/JTanGOdTze,False,
Vegas Realtor Jay,JayWoodVegas,9407,3,2208,2093,3243659821,False,"Las Vegas, NV",2016-12-02 18:03:30,804747835803435009,RT @thugsRbadMK: #realDonaldTrump IS AFRAID OF A RE-COUNT!! #auditthevote #notmypresident he would want one if he lost. DOUBLE STANDARD,False,
Hermione Slack,Meganta61,2270,0,189,132,4859607708,False,"Portland, OR",2016-12-02 18:02:53,804747680698093568,"Wow!Joy-Ann nails Trump's weakness of character, what drives him, his fatal flaws, as no one in the media has.… https://t.co/tDiSUkH8u4",False,
Golden Spider Lily,lycoris_aurea,3627,3,39,106,718237444768952324,False,,2016-12-02 18:02:39,804747622351306752,RT @thugsRbadMK: #realDonaldTrump IS AFRAID OF A RE-COUNT!! #auditthevote #notmypresident he would want one if he lost. DOUBLE STANDARD,False,
Eddie Muddy,thugsRbadMK,1079,3,284,66,743828447298879488,False,"Kansas, USA",2016-12-02 18:02:04,804747477014429697,#realDonaldTrump IS AFRAID OF A RE-COUNT!! #auditthevote #notmypresident he would want one if he lost. DOUBLE STANDARD,False,
WeirdReport,WeirdReport,56456,3,23180,25394,57174231,False,FormerRepublicOfTheUSA,2016-12-02 18:01:29,804747329236570114,Democrats keep instructing Trump on how he must govern as President. Don't they know they lost? #Democrats #GOP #realDonaldTrump,False,
Deplorable fordgt40,nobamanoway,288847,3,13531,12518,36048950,False,SE Meeechigan / NW Ohio,2016-12-02 18:01:27,804747323003834368,"RT @amrightnow: ""The Real Trump"" Make Video #realdonaldtrump https://t.co/j58e8aacrE #WisconsinPrimary #Wisconsin #Wisconsinpoll https://t.…",False,
American Right Now,amrightnow,547663,3,31931,34927,449110269,False,"New Jersey, USA",2016-12-02 18:00:34,804747100814802944,"""The Real Trump"" Make Video #realdonaldtrump https://t.co/j58e8aacrE #WisconsinPrimary #Wisconsin #Wisconsinpoll https://t.co/Ujavg7N6iM",False,
American Right Now,amrightnow,547663,2,31931,34927,449110269,False,"New Jersey, USA",2016-12-02 18:00:34,804747097794809859,About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain #WisconsinPrimary #Wisconsin #Wisconsinpoll https://t.co/GiM86wXcGM,False,
Winton S.,dudleydwrightly,511,0,0,5,1103622835,False,"New York, NY",2016-12-02 17:58:53,804746675008966656,@realDonaldTrump Tom Price IS THE SWAMP. #realdonaldtrump #trump #kellyannepolls #foxnews #breitbart #megynkelly #USAtoday #cnn #ap #forbes,False,1103622835
Wm. Lee Merritt,wmleemert,130957,1,4887,5414,1599562578,False,"Lincoln, NE, USA",2016-12-02 17:58:51,804746667966791680,RT @amrightnow: Trump @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain #tcot https://t.co/j58e8aacrE https://t.co/x85CBoUOcH,False,
Jan Maxwell,januarycat,2967,0,286,121,20214551,False,Texas,2016-12-02 17:57:40,804746369428766720,So much for bringing Americans together. #realDonaldTrump https://t.co/FzqkMXpzCa,False,
American Right Now,amrightnow,547663,1,31931,34927,449110269,False,"New Jersey, USA",2016-12-02 17:55:21,804745786508591105,Trump @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain #tcot https://t.co/j58e8aacrE https://t.co/x85CBoUOcH,False,
Michael Mumford,PROUDUSMCVETSON,21,0,117,8,769582204821331968,False,"Westerly, RI",2016-12-02 17:54:04,804745462418960384,"#PEOTUS, #realDonaldTrump  you be carful out there. The country needs a strong patriot, and its YOU.",False,
American Right Now,amrightnow,547663,0,31931,34927,449110269,False,"New Jersey, USA",2016-12-02 17:50:19,804744521334620160,#RealDonaldTrump #Military #Veterans Watch https://t.co/j58e8aacrE #RealDonaldTrump #votetrump2016 #Wisconsin https://t.co/p0I0BTnN0J,False,
ukraine-english-news,discjocke52,135090,9,594,2639,423625300,False,"United States, Ukraine",2016-12-02 17:48:23,804744031330856960,"Don't worry. I won't. Promise!
@realDonaldTrump #realDonaldTrump https://t.co/mcAOWmUbmQ",False,
John,Maddogph123Phx,1697,3,461,184,2671003740,False,,2016-12-02 17:45:19,804743260878966784,"RT @amrightnow: Real Trump NO Refugees Allowed In The US ""0"" Paris Declares Act Of War https://t.co/j58e8aacrE #realDonaldTrump https://t.c…",False,
DrBill,wafenton,239,0,34,33,2686408387,False,"California, USA",2016-12-02 17:42:11,804742473188712448,MSN  saying no other PEOTUS has ever done a vic/thanks tour.  The others all forget the voters once elected #realdonaldtrump,False,
BillYarberDeplorable,2billyarber,16301,2,1966,1427,713042264252092417,False,"Florida, USA",2016-12-02 17:38:18,804741496612253696,RT @amrightnow: Turn the lights off on your way out! We will make them bright again! Trump #VoteTrump2016 #realdonaldtrump https://t.co/H33…,False,
American Right Now,amrightnow,547663,3,31931,34927,449110269,False,"New Jersey, USA",2016-12-02 17:36:20,804740998379225089,"Real Trump NO Refugees Allowed In The US ""0"" Paris Declares Act Of War https://t.co/j58e8aacrE #realDonaldTrump https://t.co/VxjeLXfu99",False,
American Right Now,amrightnow,547663,2,31931,34927,449110269,False,"New Jersey, USA",2016-12-02 17:34:21,804740500473466880,Turn the lights off on your way out! We will make them bright again! Trump #VoteTrump2016 #realdonaldtrump https://t.co/H33ytWwjwg,False,
scott neisess,scottiberius,7414,5,487,228,285489489,False,"palm beach gardens ,Florida",2016-12-02 17:30:55,804739635209441284,RT @amrightnow: Hillary Clinton should be in Jail Not on the campaign Trail #realdonaldtrump #military #army #navy #usmc https://t.co/IbNiU…,False,
Bill Way,BillWayTODAY,91,1,75,26,286695360,False,"Hawthorn Woods, Illinois, USA",2016-12-02 17:25:45,804738337655451649,"$7,000,000 = 700 at $10,000 each.  #realDonaldTrump #indiana This is the new math.",False,
William E. Lewis Jr.,4WilliamLewis,33928,2,324,364,2405538056,False,"Vero Beach, FL",2016-12-02 17:21:02,804737150503817216,RT @amrightnow: Trump About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https://t.co/j58e8aacrE https://t.co/CbT…,False,
William E. Lewis Jr.,4WilliamLewis,33928,1,324,364,2405538056,False,"Vero Beach, FL",2016-12-02 17:21:02,804737149799120896,"RT @PeterAtLarge: After ""winning"" despite a substantial loss of popular vote, #realdonaldtrump indulges in an orgy of public self-congratul…",False,
William E. Lewis Jr.,4WilliamLewis,33928,1,324,364,2405538056,False,"Vero Beach, FL",2016-12-02 17:21:02,804737148897415168,RT @eswillwalker: How #realdonaldtrump supporters view all women. https://t.co/6KyYZ6eqOr,False,
ThankYouHillary,entrnamehere,307,0,62,36,759856249919922176,False,,2016-12-02 17:18:53,804736610814324736,"But the #POETUS #realDonaldTrump  said millions voted illegally! Based on his own words, we owe it to everyone to c… https://t.co/rPqEpn3g1S",False,
Nancy,BeachGirl1900,33,0,6,1,803765785307082755,False,,2016-12-02 17:18:50,804736595161206784,"#realdonaldtrump what kind of leader surrounds himself w/ military, puts down press, says lock up opponents, and hates press?  Dictators",False,
Star Ashley,StarAshley8,14943,2,779,508,768254947167047680,False,Maryland,2016-12-02 17:17:10,804736175286185984,RT @amrightnow: Trump About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https://t.co/j58e8aacrE https://t.co/qY2…,False,
Nancy,BeachGirl1900,33,0,6,1,803765785307082755,False,,2016-12-02 17:15:56,804735867961098240,"Way to go #realdonaldtrump. More jobs going to Mex than you saved 1,300 vs 1,000. Each one saved cost taxpayers $7,000 + future contracts",False,
Deplorable CJ,CarolFoster13,103683,2,3776,3801,485960927,False,,2016-12-02 17:04:56,804733097166118912,RT @amrightnow: how About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https://t.co/j58e8aacrE https://t.co/6KqdL…,False,
Deplorable CJ,CarolFoster13,103683,1,3776,3801,485960927,False,,2016-12-02 17:03:57,804732852713689088,RT @amrightnow: Hillary Clinton should be in Jail Not on the campaign Trail #realdonaldtrump #military #army #navy #usmc https://t.co/MbkTr…,False,
American Patriot,America57748638,726,2,433,136,804335338374262785,False,,2016-12-02 17:02:50,804732570038583297,RT @amrightnow: Trump About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https://t.co/j58e8aacrE https://t.co/qY2…,False,
RONALD PAT HUDGINS,RHUDGIN745,2090,0,772,180,69353925,False,"BASTROP, TEXAS",2016-12-02 17:02:00,804732360063414279,"#dorothypriceo

#realDonaldTrump 
This is why we don't burn our flag!!! https://t.co/pXPoEBnBNT",False,
American Right Now,amrightnow,547663,2,31931,34927,449110269,False,"New Jersey, USA",2016-12-02 17:01:22,804732199304122369,Trump About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https://t.co/j58e8aacrE https://t.co/qY2Nmpshxg,False,
Allen Ellis,AllenEllis14,110020,1,11116,11623,55004670,False,"alexandria,va",2016-12-02 17:00:27,804731968323719168,RT @amrightnow: Trump Family @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain #tcot Watch https://t.co/j58e8aacrE https://t.co/…,False,
Debbie Hall,ym_debra,16633,1,183,213,2358183505,False,,2016-12-02 16:56:05,804730870695399424,RT @amrightnow: Trump About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https://t.co/j58e8aacrE https://t.co/Fgd…,False,
American Right Now,amrightnow,547663,0,31931,34927,449110269,False,"New Jersey, USA",2016-12-02 16:54:19,804730427588153344,Go #NAVY #Vote2016 #realdonaldtrump For the Strongest #Military #veterans #realbencarson #Army #usmc #airforce https://t.co/KDmHRMFKnn,False,
American Right Now,amrightnow,547663,1,31931,34927,449110269,False,"New Jersey, USA",2016-12-02 16:53:17,804730168271110145,Trump About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https://t.co/j58e8aacrE https://t.co/FgdDxtoTH0,False,
Ridha Lanouar,LanRid01,1490,0,473,154,22781119,False,"Phoenix, Arizona USA ",2016-12-02 16:52:38,804730001618677760,@Morning_Joe @JoeNBC @MSNBC #realDonaldTrump is a #narcissist he likes the #Attention.  he lost by 2million votes he shouldn't brag.,False,254117355
Dundoit,rungie08,528,0,92,25,2921130188,False,"Florida, USA",2016-12-02 16:46:50,804728543548739584,"#everybodytweettrump
Shut him down
@karenhunter #ALLIN #realDonaldTrump 
#BLM @iJesseWilliams 
Stop this #king",False,
nancy green,nancy73gg,45309,2,305,564,3167639097,False,"Austin, TX",2016-12-02 16:42:46,804727521581404160,RT @amrightnow: Trump About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https://t.co/j58e8aacrE https://t.co/CbT…,False,
Kelly,KellyReed1121,1928,0,262,59,4745642594,False,"Nevada, USA",2016-12-02 16:41:22,804727166420152320,@realDonaldTrump you are a colossal failure and a fucking joke #RealDonaldTrump #NeverTrump #WhinyBitchFuckhead,False,25073877
ukraine-english-news,discjocke52,135090,0,594,2639,423625300,False,"United States, Ukraine",2016-12-02 16:41:15,804727136728780800,"#Loser #Trump What is @realDonaldTrump #realDonaldTrump hiding? If he's not hiding anything, he should let it play… https://t.co/1mFy94Zrsb",False,
Laura Pauls,lmpauls51,8030,2,750,438,332076821,False,Arizona,2016-12-02 16:40:49,804727031183216640,RT @amrightnow: how About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https://t.co/j58e8aacrE https://t.co/6KqdL…,False,
American Right Now,amrightnow,547663,0,31931,34927,449110269,False,"New Jersey, USA",2016-12-02 16:40:19,804726903219306496,About You #realdonaldtrump #trump2016 #TrumpTrain  Watch https://t.co/j58e8aacrE #VoteTrump2016 #A2 #tcot #A1 https://t.co/pm62XUPc3B,False,
American Right Now,amrightnow,547663,1,31931,34927,449110269,False,"New Jersey, USA",2016-12-02 16:40:19,804726903118692352,Hillary Clinton should be in Jail Not on the campaign Trail #realdonaldtrump #military #army #navy #usmc https://t.co/MbkTrjGewk,False,
American Right Now,amrightnow,547663,2,31931,34927,449110269,False,"New Jersey, USA",2016-12-02 16:40:18,804726900069466112,how About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https://t.co/j58e8aacrE https://t.co/6KqdLlE4il,False,
Troy Font,takerusback,7287,6,42,124,4426650435,False,,2016-12-02 16:36:18,804725893193146368,RT @amrightnow: Trump About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https://t.co/j58e8aacrE https://t.co/Vi7…,False,
joachim k,joachim111,4131,0,1545,466,115842839,False,Boston,2016-12-02 16:36:06,804725843041906688,#realdonaldtrump does not attend security meetings because he does not understand international affairs...,False,
(((tonygruenewald))),tonygruenewald,840,0,214,76,15790392,False,"Edison, NJ",2016-12-02 16:35:02,804725573314637824,"If PEOTUS is overseeing crowds chanting ""Lock Her Up"" wouldn't his poisoning make any court case impossible to prosecute? #realDonaldTrump",False,
American Right Now,amrightnow,547663,0,31931,34927,449110269,False,"New Jersey, USA",2016-12-02 16:30:21,804724393607892992,Big Landslide #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https://t.co/j58e8aacrE #tcot #army https://t.co/DOUuHucyNY,False,
Elaine Warren Heburn,ElaineCatherine,703,0,242,71,24771492,False,"Austin, TX",2016-12-02 16:28:47,804724000786173952,Why does #realDonaldTrump look so orange?  Is it spray tan gone wrong?  Make up?  Bad genes?,False,
American Right Now,amrightnow,547663,2,31931,34927,449110269,False,"New Jersey, USA",2016-12-02 16:26:18,804723374861807616,Trump About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https://t.co/j58e8aacrE https://t.co/CbTNSnoUja,False,
Peter Clothier,PeterAtLarge,1417,1,3030,2717,41225282,False,Southern California,2016-12-02 16:25:48,804723251746177024,"After ""winning"" despite a substantial loss of popular vote, #realdonaldtrump indulges in an orgy of public self-congratulation. Sickening!",False,
Stephanie Jones,Jonesmom2Jones,21647,4,92,292,703736130399813632,False,"Jasper, Ga",2016-12-02 16:24:52,804723014038421504,RT @amrightnow: Americans it’s time to changes the sheets #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain https://t.co/6xahzpecLU,False,
FFPCAN- Pain Care,goldenmain517,17969,5,583,925,328332222,False,Tampa florida,2016-12-02 16:22:33,804722432003207168,RT @amrightnow: Hillary Clinton should be in Jail Not on the campaign Trail #realdonaldtrump #military #army #navy #usmc https://t.co/IbNiU…,False,
Ellen L. Simms,eswillwalker,17748,1,254,825,242155735,False,"Berkeley, CA",2016-12-02 16:21:07,804722072848994304,How #realdonaldtrump supporters view all women. https://t.co/6KyYZ6eqOr,False,
American Right Now,amrightnow,547663,0,31931,34927,449110269,False,"New Jersey, USA",2016-12-02 16:20:18,804721865763782661,Trump About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain #tcot https://t.co/j58e8aacrE https://t.co/MF3WWTd7oW,False,
